	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
170.00000	78.84980	00.00000	62.64980	01.00000	93.64980	00.00000	43.24980	01.00000	49.44980	00.00000	90.64980	00.00000	86.24980	00.00000
171.00000	78.84154	00.00000	62.64154	00.00000	93.64154	00.00000	43.24154	00.00000	49.44154	00.00000	90.64154	02.00000	86.24154	01.00000
172.00000	78.83328	00.00000	62.63328	00.00000	93.63328	00.00000	43.23328	00.00000	49.43328	01.00000	90.63328	00.00000	86.23328	00.00000
173.00000	78.82502	00.00000	62.62502	01.00000	93.62502	00.00000	43.22502	00.00000	49.42502	00.00000	90.62502	00.00000	86.22502	01.00000
174.00000	78.81676	00.00000	62.61676	00.00000	93.61676	01.00000	43.21676	00.00000	49.41676	01.00000	90.61676	01.00000	86.21676	02.00000
175.00000	78.80850	01.00000	62.60850	01.00000	93.60850	00.00000	43.20850	00.00000	49.40850	00.00000	90.60850	01.00000	86.20850	02.00000
176.00000	78.80024	00.00000	62.60024	02.00000	93.60024	00.00000	43.20024	01.00000	49.40024	00.00000	90.60024	06.00000	86.20024	02.00000
177.00000	78.79198	00.00000	62.59198	00.00000	93.59198	00.00000	43.19198	01.00000	49.39198	02.00000	90.59198	00.00000	86.19198	02.00000
178.00000	78.78372	00.00000	62.58372	00.00000	93.58372	00.00000	43.18372	00.00000	49.38372	00.00000	90.58372	01.00000	86.18372	02.00000
179.00000	78.77546	01.00000	62.57546	01.00000	93.57546	01.00000	43.17546	01.00000	49.37546	00.00000	90.57546	04.00000	86.17546	02.00000
